section,page_no,sl_no_on_page,applicant,date_application,date_ruling,subject,ruling_no,pdf_link,pdf_available
Mumbai Rulings,36,351,"M/s. BASF India Limited The Capital A wing 1204-C 12TH Floor plot no- C-70 G Block Bandra East Mumb
Read More..",20.04.2022,07.07.2022,Classification of The Omega-6 Fatty acid product.,CAAR/Mum/ARC/22/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/BASF Omega 6.pdf,YES
Mumbai Rulings,36,352,"M/s. Aquila Solar Power Pvt Ltd Level1 N Heights plot no 38 Phase 2 Siddiq Nagar HITECH city Hyderab
Read More..",13.06.2022,06.07.2022,Whether the applicant being a private undertaking and engaged in setting up of solar power plants is,CAAR/Mum/ARC/21/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Aquila Solar Power pvt ltd.pdf,YES
Mumbai Rulings,36,353,"M/s. BASF India Limited The Capital A wing 1204-C 12TH Floor plot no- C-70 G Block Bandra East Mumba
Read More..",20.04.2022,05.07.2022,Classification of carotenoid products,CAAR/Mum/ARC/20/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/BASF India Ltd ruling.pdf,YES
Mumbai Rulings,36,354,"M/s. Toyota Tsusho India Pvt Ltd Unit No N 2002 20th Floor World Trade Center Brigade Gateway Campus
Read More..",28.04.2022,16.06.2022,classification of spot coolers,CAAR/Mum/ARC/19/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Toyota adv ruling 19_2022.pdf,YES
Mumbai Rulings,36,355,"M/s. GDPK Returnable Solutions India Private Limited 1402 Greenscape Cyber One Plot No. 4 & 6 Secto
Read More..",18.04.2022,16.06.2022,Temporary import/re-export of Intermediate Bulk Containers (IBCs) as reusable packing containers and,CAAR/Mum/ARC/18/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/GDPK Adv Ruling 18_2022.pdf,YES
Mumbai Rulings,36,356,"M/s. Afcons Infrastructure Limited Afcons House 16 Shah Industrial Estate Veera Desai Road Andheri
Read More..",10.05.2022,15.06.2022,Rulings is being kept confidential in accordance with the ruling issued by the authority,CAAR/Mum/ARC/17/2022,,NO
Mumbai Rulings,36,357,"M/s. Audio Distribution House Pvt. Ltd . Office No. 1 & 2 Al Sabreen CHS Kamal Apt. Near Jama Masjid
Read More..",22.04.2022,08.06.2022,Classification of data projectors,CAAR/Mum/ARC/16/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/audio-distribution-house-08062022.PDF,YES
Mumbai Rulings,36,358,"M/s Compuage Infocom Ltd D-601/602 & G-601&602 lotus corporate park Ram mandir lane graham firth ste
Read More..",11.04.2022,03.06.2022,Classification of Creative Touch 5- series Interactive Flat panel(IFP),CAAR/Mum/ARC/15/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/compuage-Infocom-caar-ruling-mum.PDF,YES
Mumbai Rulings,36,359,"M/s Brightpoint India Pvt Ltd. 5Th floor Building A Empire Plaza LBS Marg Vikhorli West Mumbai-40008
Read More..",08.03.2022,02.06.2022,Classification of Honeywell International Inc portable computers.,CAAR/Mum/ARC/14/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Bright point Ruling.PDF,YES
Mumbai Rulings,36,360,M/s Anshul Life Sciences 401 4th Floor Jagdamba House Peru Baug Goregaon East Mumbai 400063,30.03.2022,18.05.2022,Classification of Tariff Code of Product ' Pea Protein',CAAR/Mum/ARC/13/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Anshul Life sc ruling.PDF,YES
Mumbai Rulings,37,361,"M/s Frizwell Agro Foods No. 110 First Floor Estella Gracious Chikka Begur Road AECS Layout B Block B
Read More..",31.03.2022,18.05.2022,Classification of Import of Dehydrated Dark and Seedless raisin,CAAR/Mum/ARC/12/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Frizwell agro rulings.PDF,YES
Mumbai Rulings,37,362,"M/s Ingram Micro India Pvt Ltd. 5Th floor A wing Empire Plaza LBS Marg Gandhi Nagar Vikhroli West Mu
Read More..",11.03.2022,10.05.2022,Classification of various types of drones and applicable customs duty and IGST rate on the impugned,CAAR/Mum/ARC/11/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Ingram Micro India Pvt Ltd Ruling.PDF,YES
Mumbai Rulings,37,363,"M/s Suraj Construction Mahaveer Mirror Industries Unit of Suraj Construction No.91 Fuso House Poonam
Read More..",03.03.2022,10.05.2022,"Classification of clear float glass with ""absorbent layer """,CAAR/Mum/ARC/10/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Suraj Construction Ruling .PDF,YES
Mumbai Rulings,37,364,M/s Pairan Pyrolysis Pvt. Ltd. 8A Kathir Nager Main Road Kangeyam Road Tirpur- 641604 Tamil Nadu.,25.01.2022,11.04.2022,Classification of Tyre Pyrolysis Oil and tyre pyrolysis recovered carbon,CAAR/Mum/ARC/09/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Pairan Pyrolysis Ruling.PDF,YES
Mumbai Rulings,37,365,M/s Fermenta Biotech Ltd A-1501 Thane one DIL Complex Ghodbunder road Thane(W)- 400610.,13.01.2022,11.04.2022,classification of fatty substance mixture for developing aqua feed products,CAAR/Mum/ARC/08/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Fermenta Biotech Ltd Ruling.PDF,YES
Mumbai Rulings,37,366,M/s TATA Motors Ltd Geetanil 13-19 Nagindas Master Road Hutatma Chowk Mumbai 400 001.,27.01.2022,17.03.2022,Classification of Differential Pressure Sensors(DPS) & Tyre Pressure Monitoring Sensors (TPMS),CAAR/Mum/ARC/07/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Ms Tata Motors Adv Rulings.pdf,YES
Mumbai Rulings,37,367,"M/s Amazon Seller Services Pvt. Ltd. 8TH Floor World Trade Centre Brigade Gateway 26/1 Dr Rajkumar R
Read More..",Aug-21,18.02.2022,Classification of wireless Speaker device Model No- P5B83L,CAAR/Mum/ARC/06/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Amazon Ruling No 06.pdf,YES
Mumbai Rulings,37,368,"M/S Endress + Hauser (India) Pvt. Ltd. 7B 7Th floor Godrej One Pirojshanagar Nagar Vikhroli (East) M
Read More..",21.09.2021,03.02.2022,Classification of Deltabar Pressure Transmitters- M PMD 55,CAAR/Mum/ARC/05/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Endress Plus Hauser Ruling-05.pdf,YES
Mumbai Rulings,37,369,"M/s Audio Distribution House Pvt. Ltd Office no.1& 2 AL Sabreen CHA Kamal Apt. Near Jama Masjid S.V
Read More..",20.12.2021,02.02.2022,Classification of Creative Touch5 series Interactive Flat Panel (IFP),CAAR/Mum/ARC/04/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Audio_Distribution_House_ruling.pdf,YES
Mumbai Rulings,37,370,"M/s Netlink ICT Pvt. Ltd. X/24/A/B CRT Building Jupiter Jn Piravom Road Oliyappuram P.O Koothattuku
Read More..",30.08.2021,20.01.2022,Classification of GPON ONT (Gigabit Passive Optical Networks Optical Network Termination)),CAAR/Mum/ARC/03/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Netlink ICT Pvt Ltd ARC.pdf,YES
Mumbai Rulings,38,371,"M/s Smartage Projects Pvt ltd Regd office 303 star hub bldg no-01 Near International Airport Road An
Read More..",03.11.2021,19.01.2022,Classification of I- MAS POs (Nickel Hydroxide Compound),CAAR/Mum/ARC/02/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Smartage projects pvt ltd.pdf,YES
Mumbai Rulings,38,372,"M/s Alvest Millennium Aviation Leasing IFSC Pvt Ltd Unit 412 4th floor Bldg No 14A Block 14 Brigade
Read More..",18.10.2021,06.01.2022,Classification of Auxillary Power Unit (APU)- Off Combo Unit,CAAR/Mum/ARC/01/2022,https://www.cbic.gov.in/CONTENTREPO/CAAR/Alvest Millennium Aviation Leasing adv ruling.pdf,YES
Mumbai Rulings,38,373,"M/S Audio Distribution House Pvt. Ltd office no. 1 & 2 Al sabreen CHS Kamal APT Near jama masjid Mum
Read More..",01.09.2021,20.12.2021,Classification of data projector,CAAR/Mum/ARC/70/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/RU No 70 Audio Distribution house (1).pdf,YES
Mumbai Rulings,38,374,M/s Chandrakala Associates No. 19 Venkatachalam Lane Devaraja Mudali Street Chennai- 600003,03 .06.2020(received on 10.06.2020),24.09.2021,"Classification of ""Clear Float Glass with Absorbent layer"""".""",CAAR/Mum/ARC/36/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Chandrakala AdvRuling No36.pdf,YES
Mumbai Rulings,38,375,M/S VVF (India) Limited V-41 MIDC Industrial Area Taloja Raigad- 410208,03 .08.2021,22.12.2021,Classification of Fatty Alcohol Ethoxylate (1- mole 2-mole 7-mole),CAAR/Mum/ARC/92/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/VVF Ltd.pdf,YES
Mumbai Rulings,38,376,"M/S Endress + Hauser (India) Pvt. Ltd. 7B 7Th floor Godrej One Pirojshanagar Nagar Vikhroli (East) M
Read More..",16 .09.2021,21.12.2021,Classification of Electromagnetic Flowmeter Thermal Mass Flowmeter Ultrasonic Flowmeter Vortex flowm,CAAR/Mum/ARC/71-91/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Endress plus Hauser.pdf,YES
Mumbai Rulings,38,377,M/S Amazon seller services Pvt Ltd 8TH floor world Trade center Brigade Gateway Karnataka-560055,August 2021,08.12.2021,Classification for Import of 1. HDMI Digital Media Reciever [model no S3L46N] with Alexa Voice Remot,CAAR/Mum/ARC/68/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Amazon FireTv Stick.pdf,YES
Mumbai Rulings,38,378,"M/S Audio Distribution House Pvt. Ltd office no. 1 & 2 Al sabreen CHS Kamal APT Near jama masjid Mum
Read More..",01.09.2021,28.10.2021,Classification of data projector,CAAR/Mum/ARC/63/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Audio Distribution House Advance ruling(1).pdf,YES
Mumbai Rulings,38,379,M/S Amazon seller services Pvt Ltd 8TH floor world Trade center Brigade Gateway Karnataka-560055,10.08.2021,10.11.2021,Classification of Networking Device,CAAR/Mum/ARC/66/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Amazon application no 37 2021.pdf,YES
Mumbai Rulings,38,380,M/s Afrodille Super Foods LLP F-3 APMC Market-I Phase-II Sector-19 Turbhe Navi Mumbai-400705,25.08.2021,08.11.2021,Classification of Pumpkin Seeds,CAAR/Mum/ARC/64/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Application No 68  Afrodille Super Foods.pdf,YES
Mumbai Rulings,39,381,M/S Amazon seller services Pvt Ltd 8TH floor world Trade center Brigade Gateway Karnataka-560055,Aug-21,11.11.2021,Classification of the device i.e Smart Plug,CAAR/Mum/ARC/67/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/amazon application 30.pdf,YES
Mumbai Rulings,39,382,"M/s Amazon Digital Services Pvt. Ltd. 8Th floor World Trade Centre Brigade Gateway 26/1 Dr. rajkumar
Read More..",10.08.2021,09.11.2021,Classification of Import networking device,CAAR/MUM/ARC/65/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/amazon application no 22 2021.pdf,YES
Mumbai Rulings,39,383,M/s Marsap Services Pvt. Ltd. 29 Ujagar Industrial Estate W.T.P. Road Deonar Mumbai - 400 088,22.07.2021,27.10.2021,Classification of Liquid Particle Counter,CAAR/Mum/ARC/62/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/MARSAP Advrul-62.pdf,YES
Mumbai Rulings,39,384,M/s Marsap Services Pvt. Ltd. 29 Ujagar Industrial Estate W.T.P. Road Deonar Mumbai - 400 088,22.07.2021,13.10.2021,Classification of Distillation Instrument,CAAR/Mum/ARC/61/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/MARSAP Advrul-61.pdf,YES
Mumbai Rulings,39,385,"M/s Ingram Micro India Pvt Ltd 5th Floor A Wing Empire Plaza LBS Marg Gandhi Nagar Vikhroli West Mu
Read More..",02.08.2021,12.10.2021,Classification of data centre switch router models (DCS-7280CR2K-60-Fand DCS-7816R3-BND Series) and,CAAR/Mum/ARC/60/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Ingram Advrul-60.pdf,YES
Mumbai Rulings,39,386,"M/s. Amazon Digital Services Pvt. Ltd. 8th Floor World Trade Centre Brigade Gateway 26/1 Dr Rajkumar
Read More..",10.08.2021,08.10.2021,Classification of (i) Networking device with Model No. N3XU6S (OutdoorUnit) (ii) Networking device w,CAAR/Mum/ARC/59/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/AMAZON Advrul-59.pdf,YES
Mumbai Rulings,39,387,"M/s Ingram Micro India Pvt Ltd 5th Floor A Wing Empire Plaza LBS Marg Gandhi Nagar Vikhroli West Mu
Read More..",02.08.2021,08.10.20211,Classification of data centre switch models (DCS-7050SX3-96YC8-F and DCS-7010T-48-F) and applicabili,CAAR/Mum/ARC/58/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Ingram AdvRul-58.pdf,YES
Mumbai Rulings,39,388,"M/s. Amazon Seller Services Pvt. Ltd. 8th Floor World Trade Centre Brigade Gateway 26/1 Dr Rajkumar
Read More..",various dates in 2019,04.10.2021,Classification of four different devices namely Audio Receiver (Echo Link) having model no. SXP16E A,CAAR/Mum/ARC/54-57/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Amazon Echo etc RulingsNo54-57.pdf,YES
Mumbai Rulings,39,389,"ECI Telecom Ltd.7th Floor North Side Empire Plaza 1 Lal bahadur Shastri Marg Vikhroli West Mumbai Ma
Read More..",31.07.2020,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/32/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,39,390,"Tenny Jose Ltd.VI/412A 8th Museum Cross Lane Chembukayu Thrissur Kerala � 680 020.Email: sudheer.kn@
Read More..",02.09.2019,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/31/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,40,391,"M/s Gemini Edibles & Fats India Pvt. Ltd.Freedom House No. 8-2-334/70 & 71 Opposite SBI Executive En
Read More..",15.07.2019,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/30/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,40,392,"M/s Siemens Healthcare Pvt. Ltd. Unit No. 9A &9th Floor North Tower Godrej One Pirojshanagar Easter
Read More..",26.07.2019,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/29/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,40,393,"Toyota Kirloskar Motor Pvt. Ltd.Plot No.1 Bidadi Industrial Area Ramnagar District Bidadi Karnataka-
Read More..",15.05.2019,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/28/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,40,394,"M/s HP India Sales Pvt. Ltd. No. 24 Salarpuria Arena Hosur Main Road Audgodi Bangalore Karnataka- 56
Read More..",01.08.2018,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/27/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,40,395,"M/s. Yaga Technologies Pvt. Ltd. C-12/1/B 3rd Floor ECCOMPLEX Kushaiguda ECIL Hyderabad Email: azha
Read More..",26.07.2018,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/26/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,40,396,"M/s. Sigma- Byte Computers Pvt. Ltd. H-11/12 Paragon Centre Pandurang Budhkar Marg Worli Mumbai Mah
Read More..",29.06.2018,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/25/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,40,397,"M/s. Agro Tech Foods Ltd. 31 Sarojini Devi Road Secunderabad-500003.Email: vishal.maroo@atfoods.com
Read More..",20.06.2018,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/24/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,40,398,"M/s. Gabriel India Limited 29th Milestone Pune Nasik Highway Village Kuruli Pune � 410501. Email: ra
Read More..",31.05.2018,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/23/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,40,399,"M/s. Synthite Industries Limited Tammavaram Road Medarametala P.O. Prakaam (Dist.) Andhra Pradesh- 5
Read More..",08.02.2018,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/22/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,40,400,"M/s. Greenlight Planet India Pvt Ltd 10th floor Nehru Centre Dr Annie Besant Road Worli Mumbai - 400
Read More..",06.10.2017,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/21/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,41,401,"M/s. LA TIM METAL & INDUSTRIES Ltd. 201 Navkar Plaza Bajaj Road Vile Parle West Mumbai - 400056. Ema
Read More..",03.03.2017,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/20/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,41,402,"M/s. S.K. Industries Yashijjwal Civil Lines - 2 Opposite Janata College Chandrapur Maharashtra - 442
Read More..",28.06.2016,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/19/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,41,403,"M/s Torrecid India Pvt Ltd 304/305 Ahri Krishna Building Andheri Link Road Opp Fun Republic Andheri(
Read More..",31.03.2016,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/18/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,41,404,"M/s Data Card India Pvt Ltd B-302 Flexcel Park S.V. Road Next to 24 Karat Multiplex Jogeshwari West
Read More..",16.05.2013,30.09.2021,"Ruling given on Ground of ""Non-prosecution"""" """,CAAR/Mum/ARC/17/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Dormant AdvRulingNo38-53.pdf,YES
Mumbai Rulings,41,405,"M/s Skechers South Asia Private Ltd 803 & 804 8th Floor Fulcrum B-Wing Hiranandani Business Park CTS
Read More..",26.07.2020 (received on 29.07.2020),30.09.2021,Applicable rate of Integrated Goods and Services Tax (IGST) on import of footwear having a sale valu,CAAR/Munr/ARC I 37 12021,https://www.cbic.gov.in/CONTENTREPO/CAAR/Skechers AdvRulingsNo37 scanned.pdf,YES
Mumbai Rulings,41,406,M/s Steelcase Asia Pacific Holdings India Private Limited Pune,27.05.2021,18.08.2021,Classification of chair having swivel seat with variable height adjustment.,CAAR/Mum/ARC/33/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/33. Steelcase Asia Pacific Holding India Pvt Ltd. AdvRulingNo33.pdf,YES
Mumbai Rulings,41,407,M/s Uwas Recycler LLP Indore,14.06.2021,27.08.2021,Classification of mill processed non-alloy ferrous waste metal goods wound in a coil,CAAR/Mum/ARC/35/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/35. Uwas Recyclers AdvRulingsNo35.pdf,YES
Mumbai Rulings,41,408,Sh. Sunil Chandrana,07.06.2021,25.08.2021,Classification of formulated Gamma Glutamylcysteine,CAAR/Mum/ARC/34/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/34. Sunil Chandrana AdvRulingNo34.pdf,YES
Mumbai Rulings,41,409,M/s Flextronics Technology India Private Limited,09.05.2021,12.08.2021,"Classification of import components required for assembly of flowmeter ""Sensus iPERL smart meter """,CAAR/Mum/ARC /32/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/32. Flextronics Technology AdvRulingsNo32.pdf,YES
Mumbai Rulings,41,410,M/s Apple India Pvt Ltd,01.04.2021,10.06.2021 *21.06.2021 (Corrigendum),Import of Apple Homepods,Corrigendum,https://www.cbic.gov.in/CONTENTREPO/CAAR/1. corr Apple India Pvt Ltd.pdf,YES
Mumbai Rulings,42,411,M/s Ingram Micro India Private Limited,22.04.2021,25.06.2021,Import of Tello Drone with/without camera(Entertainment & learning drone) AGRAS T16 Drone(Agricultur,CAAR/Mum/ARC/15/2021,https://www.cbic.gov.in/CONTENTREPO/CAAR/2. Ms Ingram Micro India Pvt Ltd.pdf,YES
